results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
50,131,4.51,"Karnes County, TX",48255,8.64695,852,98.5318522716102,8.4
10,15,4.55,"Alcona County, MI",26001,8.78475,1087,123.737158143373,8.4
7,40,4.57,"Webster County, NE",31181,8.85365,1183,133.617208721827,8.4
50,100,4.41,"Talladega County, AL",1121,8.30245,358,43.1198019861607,8.3
7,10,4.43,"Robertson County, KY",21201,8.37135,457,54.5909560584613,8.3
18,21,4.42,"Carroll County, MS",28015,8.3369,476,57.0955630989936,8.3
50,132,4.44,"Tuscaloosa County, AL",1125,8.4058,493,58.649979775869,8.3
13,21,4.42,"Neshoba County, MS",28099,8.3369,521,62.493252887764,8.3
50,99,4.43,"Breckinridge County, KY",21027,8.37135,559,66.7753707585993,8.3
17,25,4.47,"Carroll County, KY",21041,8.50915,712,83.6746326013762,8.3
50,123,4.45,"Creek County, OK",40037,8.44025,717,84.9500903409259,8.3
50,131,4.46,"Levy County, FL",12075,8.4747,753,88.8527027505398,8.3
50,125,4.48,"Owen County, KY",21187,8.5436,810,94.8078093543705,8.3
50,216,4.47,"Charles City County, VA",51036,8.50915,876,102.94800303203,8.3
50,107,4.48,"Grimes County, TX",48185,8.5436,936,109.555690809495,8.3
50,104,4.51,"Henry County, KY",21103,8.64695,946,109.402737381389,8.3
9,17,4.5,"Kossuth County, IA",19109,8.6125,955,110.88534107402,8.3
50,138,4.5,"Bulloch County, GA",13031,8.6125,969,112.510885341074,8.3
50,137,4.52,"Highland County, OH",39071,8.6814,1074,123.712765222199,8.3
50,91,4.53,"Milam County, TX",48331,8.71585,1161,133.205596700264,8.3
50,236,4.57,"Charleston County, SC",45019,8.85365,1202,135.763216300622,8.3
50,144,4.38,"Bibb County, AL",1007,8.1991,225,27.4420363210596,8.2
17,65,4.38,"Wyoming County, WV",54109,8.1991,284,34.6379480674708,8.2
50,91,4.38,"Cullman County, AL",1043,8.1991,297,36.2234879437987,8.2
14,19,4.39,"Prentiss County, MS",28117,8.23355,453,55.0187950519521,8.2
10,20,4.4,"Newton County, MS",28101,8.268,497,60.1112723754233,8.2
